"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"295","The flu is about to get me boys.
If i die before the season starts I’m haunting all of you. Hella pissed.",FALSE,16,NA,2019-03-08 18:39:48,FALSE,NA,"1104089347463233543",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KcHolz",0,FALSE,FALSE,NA,NA
"296","@ZachariahBASSan I have the flu and a sinus infection and I decided not to go to a show because of it. It’ll make you feel worse :(",FALSE,0,"ZachariahBASSan",2019-03-08 18:39:44,FALSE,"1104037272566071297","1104089332481048576","1007068213006528512","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EilishRivas",0,FALSE,FALSE,NA,NA
"297","@iyshieeboo She has the flu <U+0001F62D>",FALSE,0,"iyshieeboo",2019-03-08 18:39:21,FALSE,"1104085245924585472","1104089236544741376","1048936268","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BreeeMarie__",0,FALSE,FALSE,NA,NA
"298","@SwankykongTV As soon as I'm getting back 100% again! Second flu in 2 weeks!",FALSE,1,"SwankykongTV",2019-03-08 18:39:16,FALSE,"1104087302060548099","1104089215355273222","1063108373544079360","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thmeye",0,FALSE,FALSE,NA,NA
"299","Kid #1 positive for Flu A....
You know what that means..... https://t.co/FeBAA1zVZ8",FALSE,1,NA,2019-03-08 18:39:02,FALSE,NA,"1104089154672095239",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","natashajasso",0,FALSE,FALSE,NA,NA
"300","Bronchitis, sinus infection, double ear infection. Boo.

But yay to no Influenza!",FALSE,0,NA,2019-03-08 18:38:44,FALSE,NA,"1104089080583897089",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","klynn75",0,FALSE,FALSE,NA,NA
"301","This horrible flu going around is far from over . They expect a second strain to hit in every state except for Alas… https://t.co/aJLAyldcrY",FALSE,0,NA,2019-03-08 18:37:22,TRUE,NA,"1104088737393205249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Msmere7Parker",0,FALSE,FALSE,NA,NA
"302","Equine flu remains a concern as new cases confirmed https://t.co/6ZFfXGzYxY https://t.co/EdZOOxhyiK",FALSE,0,NA,2019-03-08 18:37:04,FALSE,NA,"1104088662881513475",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","HyndsightEquine",0,FALSE,FALSE,NA,NA
"303","Yo estoy entre esos 347,000: There were as many as 26.3 million flu illnesses, 12.4 million medical visits and 347,… https://t.co/MzRu832toA",FALSE,1,NA,2019-03-08 18:36:14,TRUE,NA,"1104088450687475712",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nnguerrero",0,FALSE,FALSE,NA,NA
"304","Flu season may not have peaked, and there's another wave of severe infections underway, CDC says - CNN https://t.co/Sk0SkEwKzQ",FALSE,0,NA,2019-03-08 18:35:34,FALSE,NA,"1104088284064559106",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lvekcsmiles",0,FALSE,FALSE,NA,NA
